Uhrzeit;Relativer Bedarf;Normierter Bedarf;Strombedarf (kWh)
00:00;0.248822902;0.0071826555881808725;27581.39745861455
00:15;0.216914009;0.006261556337360643;24044.37633546487
00:30;0.183493603;0.00529682494010697;20339.807770010768
00:45;0.151383801;0.004369926142139083;16780.51638581408
01:00;0.119929301;0.0034619436438140887;13293.863592246104
01:15;0.104202051;0.0030079523946515917;11550.537195462113
01:30;0.089785405;0.0025917937447748796;9952.487979935539
01:45;0.075368759;0.0021756350948981674;8354.438764408964
02:00;0.058330905;0.0016838112464498851;6465.83518636756
02:15;0.055709696;0.0016081460190117774;6175.280713005225
02:30;0.052433186;0.0015135645207973144;5812.087759861687
02:45;0.049811978;0.0014378993222257438;5521.533397346856
03:00;0.048501373;0.0014000666940734213;5376.256105241938
03:15;0.049156676;0.0014189830225828514;5448.894806718149
03:30;0.049156676;0.0014189830225828514;5448.894806718149
03:45;0.049156676;0.0014189830225828514;5448.894806718149
04:00;0.048501373;0.0014000666940734213;5376.256105241938
04:15;0.047846071;0.0013811503944305286;5303.61751461323
04:30;0.047846071;0.0013811503944305286;5303.61751461323
04:45;0.048501373;0.0014000666940734213;5376.256105241938
05:00;0.047190769;0.001362234094787636;5230.978923984523
05:15;0.047190769;0.001362234094787636;5230.978923984523
05:30;0.047190769;0.001362234094787636;5230.978923984523
05:45;0.047190769;0.001362234094787636;5230.978923984523
06:00;0.047846071;0.0013811503944305286;5303.61751461323
06:15;0.048501373;0.0014000666940734213;5376.256105241938
06:30;0.048501373;0.0014000666940734213;5376.256105241938
06:45;0.048501373;0.0014000666940734213;5376.256105241938
07:00;0.048501373;0.0014000666940734213;5376.256105241938
07:15;0.049156676;0.0014189830225828514;5448.894806718149
07:30;0.052433186;0.0015135645207973144;5812.087759861687
07:45;0.055709696;0.0016081460190117774;6175.280713005225
08:00;0.057020301;0.0016459786471640999;6320.558005110143
08:15;0.064883926;0.0018729742717453484;7192.221203502138
08:30;0.071436946;0.0020621372681742744;7918.6071097892145
08:45;0.079300571;0.0022891328927555233;8790.27030818121
09:00;0.087819499;0.0025350448458462014;9734.572208049414
09:15;0.096993728;0.0027998730697132357;10751.512587698826
09:30;0.106823259;0.003083617593223162;11841.091557976943
09:45;0.11665279;0.0033673621167330885;12930.670528255061
10:00;0.128448228;0.00370785556803823;14238.165381266803
10:15;0.144175478;0.004161846817200727;15981.491778050791
10:30;0.162523936;0.004691503264934795;18015.372537349613
10:45;0.178906488;0.005164410813740185;19831.33752476231
11:00;0.197254947;0.00569406729034079;21865.218394908636
11:15;0.209050384;0.006034560712779394;23172.713137072875
11:30;0.22346703;0.006450719362656106;24770.76235259945
11:45;0.23591777;0.00681012911360414;26150.8957962399
12:00;0.245747301;0.007093873637114067;27240.47476651802
12:15;0.264095759;0.007623530084848134;29274.355525816834
12:30;0.281133613;0.008115353933296416;31162.95910385824
12:45;0.29882677;0.00862609411025413;33124.20138337586
13:00;0.316519926;0.009136834258345303;35085.44355204597
13:15;0.332902478;0.009609741807150693;36901.408539458665
13:30;0.351906239;0.010158314583394192;39007.928000233704
13:45;0.370254697;0.010687971031128259;41041.80875953252
14:00;0.387292551;0.011179794879576542;42930.41233757392
14:15;0.416781145;0.012031028478972859;46199.14935925578
14:30;0.448235645;0.012939010977297853;49685.80215282376
14:45;0.481000749;0.013884826074908633;53317.73212764916
15:00;0.513765853;0.014830641172519412;56949.66210247454
15:15;0.56619002;0.016343945346016582;62760.75012870369
15:30;0.627133114;0.018103161443737893;69516.13994395352
15:45;0.685454999;0.019786712314021095;75980.975285841
16:00;0.744432187;0.02148917951281373;82518.44932920473
16:15;0.792269239;0.022870069559944115;87821.06711018541
16:30;0.842072198;0.024307708534869712;93341.6007738997
16:45;0.89318576;0.02578318008021456;99007.41150802391
17:00;0.941022812;0.027164070127344946;104310.0292890046
17:15;0.958715969;0.027674810304302657;106271.2715685222
17:30;0.970511406;0.02801530372674126;107578.76631068643
17:45;0.98427275;0.028412546076975083;109104.17693558431
18:00;0.994757583;0.0287152069001279;110266.39449649114
18:15;0.983617448;0.028393629777332185;109031.5383449556
18:30;0.970511406;0.02801530372674126;107578.76631068643
18:45;0.95609476;0.02759914507686455;105980.71709515988
19:00;0.939056906;0.02710732122841627;104092.11351711847
19:15;0.897772875;0.025915594206581346;99515.88175327238
19:30;0.854522937;0.024667118256951212;94721.73410669266
19:45;0.807341187;0.023305144509463718;89491.75491634068
20:00;0.76409125;0.022056668588700118;84697.60738060846
20:15;0.733292052;0.02116760239001802;81283.5931776692
20:30;0.705769364;0.020373117689550378;78232.77192787346
20:45;0.678901979;0.01959754931759217;75254.58937955393
21:00;0.651379291;0.018803064617124533;72203.76812975822
21:15;0.627133114;0.018103161443737893;69516.13994395352
21:30;0.603542239;0.017422174569994148;66901.15034877752
21:45;0.575364249;0.016608773569883616;63777.69050835309
22:00;0.551118072;0.015908870396496976;61090.062322548394
22:15;0.532114312;0.015360297649120018;58983.54297262087
22:30;0.511144645;0.01475497597394784;56659.107739959705
22:45;0.49083028;0.01416857059841856;54407.31109792727
23:00;0.473373083;0.013664641769608321;52472.224395295954
23:15;0.417235537;0.012044145202601556;46249.51757798998
23:30;0.361097992;0.010423648664461329;40026.8108715315
23:45;0.304960447;0.008803152126321101;33804.10416507303
