,Datum,Produktion EE in MWh,Laden/Einspeisen in MWh,Flexipowerplant Einspeisung in MWh,EE + Speicher + Flexible in MWh
0,2030-01-01 00:00:00,14689.052150796504,0.0,-1831.8962616818226,16520.948412478327
1,2030-01-01 00:15:00,14706.292309484168,0.0,-1694.758974010605,16401.051283494773
2,2030-01-01 00:30:00,15000.113564946205,0.0,-1355.3347424819694,16355.448307428174
3,2030-01-01 00:45:00,14752.67905512893,0.0,-1542.873129171643,16295.552184300574
4,2030-01-01 01:00:00,15349.75670867152,0.0,-807.6415886522409,16157.398297323762
5,2030-01-01 01:15:00,15606.78883666857,0.0,-511.44536042045183,16118.234197089021
6,2030-01-01 01:30:00,15556.650887086302,0.0,-711.4232493151194,16268.074136401421
7,2030-01-01 01:45:00,15914.32102628338,0.0,-241.1021749402371,16155.423201223617
8,2030-01-01 02:00:00,15761.52513094653,0.0,-351.8151437503311,16113.34027469686
9,2030-01-01 02:15:00,16225.022639553874,-155.37112161825462,0.0,16380.393761172129
10,2030-01-01 02:30:00,15965.936425052449,61.97743421760242,0.0,15903.958990834846
11,2030-01-01 02:45:00,16211.946785448896,-249.25257351857908,0.0,16461.199358967475
12,2030-01-01 03:00:00,15558.00848626389,342.6462609192313,0.0,15215.36222534466
13,2030-01-01 03:15:00,15429.054280829838,0.0,-381.96049387586027,15811.014774705698
14,2030-01-01 03:30:00,15269.805018052499,0.0,-527.7675182037674,15797.572536256266
15,2030-01-01 03:45:00,15310.50675997885,0.0,-548.0951241930306,15858.601884171881
16,2030-01-01 04:00:00,15552.982410146427,0.0,-331.67621512313235,15884.65862526956
17,2030-01-01 04:15:00,15393.198953468927,0.0,-457.9830154525407,15851.181968921468
18,2030-01-01 04:30:00,15214.1529868278,0.0,-672.1931977969998,15886.3461846248
19,2030-01-01 04:45:00,15258.8129864382,0.0,-715.8774090117586,15974.69039544996
20,2030-01-01 05:00:00,15711.929741481583,0.0,-290.8245823108937,16002.754323792476
21,2030-01-01 05:15:00,15481.01993236421,0.0,-565.5379733771897,16046.5579057414
22,2030-01-01 05:30:00,15228.25350340178,0.0,-891.3127056823596,16119.56620908414
23,2030-01-01 05:45:00,15152.620530771155,0.0,-961.3108745605332,16113.931405331688
24,2030-01-01 06:00:00,15180.39416699421,0.0,-869.8865456053627,16050.280712599573
25,2030-01-01 06:15:00,15088.394821528012,0.0,-1065.7425456725086,16154.137367200521
26,2030-01-01 06:30:00,15124.476181237193,0.0,-969.5141849185275,16093.99036615572
27,2030-01-01 06:45:00,15107.782205499416,0.0,-1010.9044686415818,16118.686674140998
28,2030-01-01 07:00:00,15557.58493909513,0.0,-895.7306562061385,16453.31559530127
29,2030-01-01 07:15:00,15575.477685782624,0.0,-951.31598551565,16526.793671298274
30,2030-01-01 07:30:00,15632.129550342837,0.0,-954.1463919519265,16586.275942294764
31,2030-01-01 07:45:00,15527.183098463567,0.0,-1117.0960088431239,16644.27910730669
