,Datum,Produktion EE in MWh,Laden/Einspeisen in MWh,Flexipowerplant Einspeisung in MWh,EE + Speicher + Flexible in MWh
0,2030-01-01 00:00:00,14689.052150796504,0.0,-1789.3813980183859,16478.43354881489
1,2030-01-01 00:15:00,14706.292309484168,0.0,-1651.2746749555663,16357.566984439734
2,2030-01-01 00:30:00,15000.113564946205,0.0,-1308.444289339157,16308.557854285362
3,2030-01-01 00:45:00,14752.67905512893,0.0,-1494.205972860067,16246.885027988998
4,2030-01-01 01:00:00,15349.75670867152,0.0,-756.6009071380013,16106.357615809522
5,2030-01-01 01:15:00,15606.78883666857,0.0,-462.42251269018743,16069.211349358757
6,2030-01-01 01:30:00,15556.650887086302,0.0,-661.2658419540712,16217.916729040373
7,2030-01-01 01:45:00,15914.32102628338,0.0,-191.00624231637084,16105.32726859975
8,2030-01-01 02:00:00,15761.52513094653,0.0,-298.2467921200623,16059.771923066592
9,2030-01-01 02:15:00,16225.022639553874,-208.74284474805972,0.0,16016.279794805814
10,2030-01-01 02:30:00,15965.936425052449,8.246218808057165,0.0,15974.182643860506
11,2030-01-01 02:45:00,16211.946785448896,-303.2678645078922,0.0,15908.678920941004
12,2030-01-01 03:00:00,15558.00848626389,365.9264889387305,0.0,15923.934975202621
13,2030-01-01 03:15:00,15429.054280829838,137.83800150916431,0.0,15566.892282339002
14,2030-01-01 03:30:00,15269.805018052499,0.0,-492.01466346758934,15761.819681520088
15,2030-01-01 03:45:00,15310.50675997885,0.0,-519.1556330550538,15829.662393033905
16,2030-01-01 04:00:00,15552.982410146427,0.0,-318.7708233780413,15871.753233524469
17,2030-01-01 04:15:00,15393.198953468927,0.0,-463.0662379276873,15856.265191396615
18,2030-01-01 04:30:00,15214.1529868278,0.0,-695.4706325800944,15909.623619407894
19,2030-01-01 04:45:00,15258.8129864382,0.0,-756.825538584364,16015.638525022565
20,2030-01-01 05:00:00,15711.929741481583,0.0,-355.3252151898505,16067.254956671433
21,2030-01-01 05:15:00,15481.01993236421,0.0,-657.3459662496443,16138.365898613854
22,2030-01-01 05:30:00,15228.25350340178,0.0,-1009.2321400162655,16237.485643418046
23,2030-01-01 05:45:00,15152.620530771155,0.0,-1105.0165985696894,16257.637129340845
24,2030-01-01 06:00:00,15180.39416699421,0.0,-1028.9150600173907,16209.309227011601
25,2030-01-01 06:15:00,15088.394821528012,0.0,-1235.9187564191907,16324.313577947203
26,2030-01-01 06:30:00,15124.476181237193,0.0,-1151.6280659235508,16276.104247160743
27,2030-01-01 06:45:00,15107.782205499416,0.0,-1205.1932314547903,16312.975436954206
28,2030-01-01 07:00:00,15557.58493909513,0.0,-1089.718526514287,16647.303465609417
29,2030-01-01 07:15:00,15575.477685782624,0.0,-1141.2847848037109,16716.762470586335
30,2030-01-01 07:30:00,15632.129550342837,0.0,-1139.1667592835474,16771.296309626385
31,2030-01-01 07:45:00,15527.183098463567,0.0,-1298.0051961308163,16825.188294594383
32,2030-01-01 08:00:00,15517.941047771354,0.0,-1075.4425498930796,16593.383597664433
33,2030-01-01 08:15:00,15482.569301814556,0.0,-1158.73945200844,16641.308753822996
34,2030-01-01 08:30:00,15551.416394174857,0.0,-1217.9937605013165,16769.410154676174
35,2030-01-01 08:45:00,15721.778490058872,0.0,-1152.9943069338424,16874.772796992715
36,2030-01-01 09:00:00,15944.505304833538,0.0,-939.2923625680287,16883.797667401566
37,2030-01-01 09:15:00,16377.907823238282,0.0,-794.714069949634,17172.621893187916
38,2030-01-01 09:30:00,16791.389738191425,0.0,-567.3659189475984,17358.755657139023
39,2030-01-01 09:45:00,17394.869171466835,0.0,-102.6732557935211,17497.542427260356
40,2030-01-01 10:00:00,18254.96745822902,-1159.8500699812357,0.0,17095.117388247785
41,2030-01-01 10:15:00,18943.539708923796,-1641.850338851218,0.0,17301.689370072578
42,2030-01-01 10:30:00,19611.64237455751,-2092.1246759468413,0.0,17519.517698610667
43,2030-01-01 10:45:00,20063.105992535322,-2414.7623155121837,0.0,17648.34367702314
44,2030-01-01 11:00:00,20406.706622221267,-4437.3996192374525,0.0,15969.307002983815
45,2030-01-01 11:15:00,20967.67946156148,-4633.170980497065,0.0,16334.508481064417
46,2030-01-01 11:30:00,21495.997475155786,-4940.300191592403,0.0,16555.697283563382
47,2030-01-01 11:45:00,21686.819266652437,-5106.675744918608,0.0,16580.14352173383
48,2030-01-01 12:00:00,21819.54408159428,-5240.926683062997,0.0,16578.61739853128
49,2030-01-01 12:15:00,21570.39813680971,-4969.269110187197,0.0,16601.12902662251
50,2030-01-01 12:30:00,21229.3377424986,-4731.19107037452,0.0,16498.14667212408
51,2030-01-01 12:45:00,21196.101475205098,-4323.757906793286,0.0,16872.343568411812
52,2030-01-01 13:00:00,21080.044493036654,-2291.4368494543596,0.0,18788.607643582294
