,Datum,Kapazität in MWh,Restkapazität in MWh,Einspeisung in MWh
0,2030-01-01 00:00:00,5750.0,5750.0,0.0
1,2030-01-01 00:15:00,5750.0,5750.0,0.0
2,2030-01-01 00:30:00,5750.0,5750.0,0.0
3,2030-01-01 00:45:00,5750.0,5750.0,0.0
4,2030-01-01 01:00:00,5750.0,5750.0,0.0
5,2030-01-01 01:15:00,5750.0,5750.0,0.0
6,2030-01-01 01:30:00,5750.0,5750.0,0.0
7,2030-01-01 01:45:00,5750.0,5750.0,0.0
8,2030-01-01 02:00:00,5750.0,5750.0,0.0
9,2030-01-01 02:15:00,5750.0,5750.0,0.0
10,2030-01-01 02:30:00,5750.0,5750.0,0.0
11,2030-01-01 02:45:00,5750.0,5750.0,0.0
12,2030-01-01 03:00:00,5750.0,5750.0,0.0
13,2030-01-01 03:15:00,5750.0,5750.0,0.0
14,2030-01-01 03:30:00,5750.0,5750.0,0.0
15,2030-01-01 03:45:00,5750.0,5750.0,0.0
16,2030-01-01 04:00:00,5750.0,5750.0,0.0
17,2030-01-01 04:15:00,5750.0,5750.0,0.0
18,2030-01-01 04:30:00,5750.0,5750.0,0.0
19,2030-01-01 04:45:00,5750.0,5750.0,0.0
20,2030-01-01 05:00:00,5750.0,5750.0,0.0
21,2030-01-01 05:15:00,5750.0,5750.0,0.0
22,2030-01-01 05:30:00,5750.0,5750.0,0.0
23,2030-01-01 05:45:00,5750.0,5750.0,0.0
24,2030-01-01 06:00:00,5750.0,5750.0,0.0
25,2030-01-01 06:15:00,5750.0,5750.0,0.0
26,2030-01-01 06:30:00,5750.0,5750.0,0.0
27,2030-01-01 06:45:00,5750.0,5750.0,0.0
28,2030-01-01 07:00:00,5750.0,5750.0,0.0
29,2030-01-01 07:15:00,5750.0,5750.0,0.0
30,2030-01-01 07:30:00,5750.0,5750.0,0.0
31,2030-01-01 07:45:00,5750.0,5750.0,0.0
32,2030-01-01 08:00:00,5750.0,5750.0,0.0
33,2030-01-01 08:15:00,5750.0,5750.0,0.0
34,2030-01-01 08:30:00,5750.0,5750.0,0.0
35,2030-01-01 08:45:00,5750.0,5750.0,0.0
36,2030-01-01 09:00:00,5750.0,5750.0,0.0
37,2030-01-01 09:15:00,5750.0,5750.0,0.0
38,2030-01-01 09:30:00,5750.0,5750.0,0.0
39,2030-01-01 09:45:00,5750.0,5750.0,0.0
40,2030-01-01 10:00:00,5750.0,5750.0,0.0
41,2030-01-01 10:15:00,5750.0,5750.0,0.0
42,2030-01-01 10:30:00,5750.0,5750.0,0.0
43,2030-01-01 10:45:00,5750.0,5750.0,0.0
44,2030-01-01 11:00:00,5750.0,5750.0,0.0
45,2030-01-01 11:15:00,5750.0,5750.0,0.0
46,2030-01-01 11:30:00,5750.0,5750.0,0.0
47,2030-01-01 11:45:00,5750.0,5750.0,0.0
48,2030-01-01 12:00:00,5750.0,5750.0,0.0
49,2030-01-01 12:15:00,5750.0,5750.0,0.0
50,2030-01-01 12:30:00,5750.0,5750.0,0.0
51,2030-01-01 12:45:00,5750.0,5750.0,0.0
52,2030-01-01 13:00:00,5750.0,5750.0,0.0
53,2030-01-01 13:15:00,5750.0,5750.0,0.0
54,2030-01-01 13:30:00,5750.0,5750.0,0.0
55,2030-01-01 13:45:00,5750.0,5750.0,0.0
56,2030-01-01 14:00:00,5750.0,5750.0,0.0
57,2030-01-01 14:15:00,5750.0,5750.0,0.0
58,2030-01-01 14:30:00,5750.0,5750.0,0.0
59,2030-01-01 14:45:00,5750.0,5750.0,0.0
60,2030-01-01 15:00:00,5750.0,5750.0,0.0
61,2030-01-01 15:15:00,5750.0,5750.0,0.0
62,2030-01-01 15:30:00,5750.0,5750.0,0.0
63,2030-01-01 15:45:00,5750.0,5750.0,0.0
64,2030-01-01 16:00:00,5750.0,5750.0,0.0
65,2030-01-01 16:15:00,5750.0,5750.0,0.0
66,2030-01-01 16:30:00,5750.0,5750.0,0.0
67,2030-01-01 16:45:00,5750.0,5750.0,0.0
68,2030-01-01 17:00:00,5750.0,5750.0,0.0
69,2030-01-01 17:15:00,5750.0,5750.0,0.0
70,2030-01-01 17:30:00,5750.0,0.0,-5750.0
71,2030-01-01 17:45:00,5750.0,0.0,-5750.0
72,2030-01-01 18:00:00,5750.0,0.0,-5750.0
73,2030-01-01 18:15:00,5750.0,0.0,-5750.0
74,2030-01-01 18:30:00,5750.0,0.0,-5750.0
75,2030-01-01 18:45:00,5750.0,0.0,-5750.0
76,2030-01-01 19:00:00,5750.0,0.0,-5750.0
77,2030-01-01 19:15:00,5750.0,0.0,-5750.0
78,2030-01-01 19:30:00,5750.0,0.0,-5750.0
79,2030-01-01 19:45:00,5750.0,0.0,-5750.0
80,2030-01-01 20:00:00,5750.0,418.3464345032062,-5331.653565496794
81,2030-01-01 20:15:00,5750.0,810.4345559982103,-4939.56544400179
82,2030-01-01 20:30:00,5750.0,1384.021618750643,-4365.978381249357
83,2030-01-01 20:45:00,5750.0,2114.153726763854,-3635.846273236146
84,2030-01-01 21:00:00,5750.0,2396.552827199979,-3353.447172800021
85,2030-01-01 21:15:00,5750.0,2411.47747477172,-3338.52252522828
86,2030-01-01 21:30:00,5750.0,2408.53506058331,-3341.46493941669
87,2030-01-01 21:45:00,5750.0,2474.822123964488,-3275.177876035512
88,2030-01-01 22:00:00,5750.0,2539.0115737820324,-3210.9884262179676
89,2030-01-01 22:15:00,5750.0,2895.523595884728,-2854.476404115272
90,2030-01-01 22:30:00,5750.0,3260.6543921160755,-2489.3456078839245
91,2030-01-01 22:45:00,5750.0,3813.4501690043,-1936.5498309957002
92,2030-01-01 23:00:00,5750.0,3952.4936181824814,-1797.5063818175186
93,2030-01-01 23:15:00,5750.0,4364.2636969348205,-1385.7363030651795
94,2030-01-01 23:30:00,5750.0,4931.302139074394,-818.6978609256057
95,2030-01-01 23:45:00,5750.0,5343.970185925116,-406.0298140748837
96,2030-01-02 00:00:00,5750.0,5582.756182672027,-167.24381732797337
97,2030-01-02 00:15:00,5750.0,5750.0,0.0
98,2030-01-02 00:30:00,5750.0,5750.0,0.0
99,2030-01-02 00:45:00,5750.0,5750.0,0.0
100,2030-01-02 01:00:00,5750.0,5750.0,0.0
101,2030-01-02 01:15:00,5750.0,5750.0,0.0
102,2030-01-02 01:30:00,5750.0,5750.0,0.0
103,2030-01-02 01:45:00,5750.0,5750.0,0.0
104,2030-01-02 02:00:00,5750.0,5750.0,0.0
105,2030-01-02 02:15:00,5750.0,5750.0,0.0
106,2030-01-02 02:30:00,5750.0,5750.0,0.0
107,2030-01-02 02:45:00,5750.0,5750.0,0.0
108,2030-01-02 03:00:00,5750.0,5750.0,0.0
109,2030-01-02 03:15:00,5750.0,5750.0,0.0
110,2030-01-02 03:30:00,5750.0,5750.0,0.0
111,2030-01-02 03:45:00,5750.0,5750.0,0.0
112,2030-01-02 04:00:00,5750.0,5750.0,0.0
113,2030-01-02 04:15:00,5750.0,5750.0,0.0
114,2030-01-02 04:30:00,5750.0,5750.0,0.0
115,2030-01-02 04:45:00,5750.0,5750.0,0.0
116,2030-01-02 05:00:00,5750.0,5750.0,0.0
117,2030-01-02 05:15:00,5750.0,5750.0,0.0
118,2030-01-02 05:30:00,5750.0,5750.0,0.0
119,2030-01-02 05:45:00,5750.0,5750.0,0.0
120,2030-01-02 06:00:00,5750.0,5750.0,0.0
121,2030-01-02 06:15:00,5750.0,5750.0,0.0
122,2030-01-02 06:30:00,5750.0,5750.0,0.0
123,2030-01-02 06:45:00,5750.0,5750.0,0.0
124,2030-01-02 07:00:00,5750.0,5750.0,0.0
125,2030-01-02 07:15:00,5750.0,5750.0,0.0
126,2030-01-02 07:30:00,5750.0,5750.0,0.0
127,2030-01-02 07:45:00,5750.0,5750.0,0.0
128,2030-01-02 08:00:00,5750.0,5750.0,0.0
129,2030-01-02 08:15:00,5750.0,5750.0,0.0
130,2030-01-02 08:30:00,5750.0,5750.0,0.0
131,2030-01-02 08:45:00,5750.0,5750.0,0.0
132,2030-01-02 09:00:00,5750.0,2748.9028288383815,-3001.0971711616185
133,2030-01-02 09:15:00,5750.0,3279.8478221579426,-2470.1521778420574
134,2030-01-02 09:30:00,5750.0,3865.3543767005394,-1884.6456232994606
135,2030-01-02 09:45:00,5750.0,4069.6775030166536,-1680.3224969833464
136,2030-01-02 10:00:00,5750.0,4227.561422486971,-1522.4385775130286
137,2030-01-02 10:15:00,5750.0,4363.252726068258,-1386.7472739317418
138,2030-01-02 10:30:00,5750.0,4227.101823018904,-1522.8981769810962
139,2030-01-02 10:45:00,5750.0,4300.3109474539015,-1449.6890525460985
140,2030-01-02 11:00:00,5750.0,4861.557418306373,-888.4425816936273
141,2030-01-02 11:15:00,5750.0,4863.84249252512,-886.1575074748798
142,2030-01-02 11:30:00,5750.0,4706.258120094906,-1043.7418799050938
143,2030-01-02 11:45:00,5750.0,4906.659528734643,-843.3404712653573
144,2030-01-02 12:00:00,5750.0,4791.565724161752,-958.4342758382481
145,2030-01-02 12:15:00,5750.0,4756.183934504803,-993.8160654951971
146,2030-01-02 12:30:00,5750.0,4642.994295486653,-1107.0057045133472
147,2030-01-02 12:45:00,5750.0,4673.132086107504,-1076.8679138924963
148,2030-01-02 13:00:00,5750.0,4649.219396308807,-1100.7806036911934
149,2030-01-02 13:15:00,5750.0,3801.721209295112,-1948.2787907048878
150,2030-01-02 13:30:00,5750.0,3378.9421334514554,-2371.0578665485446
151,2030-01-02 13:45:00,5750.0,3762.988200298292,-1987.0117997017078
152,2030-01-02 14:00:00,5750.0,3884.9079488552306,-1865.0920511447694
153,2030-01-02 14:15:00,5750.0,3614.6087768905927,-2135.3912231094073
154,2030-01-02 14:30:00,5750.0,2931.4427652895247,-2818.5572347104753
155,2030-01-02 14:45:00,5750.0,2137.1775581178445,-3612.8224418821555
156,2030-01-02 15:00:00,5750.0,1112.3485868721655,-4637.6514131278345
157,2030-01-02 15:15:00,5750.0,277.8801682714766,-5472.119831728523
158,2030-01-02 15:30:00,5750.0,98.03428460181749,-5651.9657153981825
159,2030-01-02 15:45:00,5750.0,141.67902861300718,-5608.320971386993
160,2030-01-02 16:00:00,5750.0,0.0,-5750.0
161,2030-01-02 16:15:00,5750.0,0.0,-5750.0
162,2030-01-02 16:30:00,5750.0,0.0,-5750.0
163,2030-01-02 16:45:00,5750.0,0.0,-5750.0
164,2030-01-02 17:00:00,5750.0,0.0,-5750.0
165,2030-01-02 17:15:00,5750.0,0.0,-5750.0
166,2030-01-02 17:30:00,5750.0,0.0,-5750.0
167,2030-01-02 17:45:00,5750.0,0.0,-5750.0
168,2030-01-02 18:00:00,5750.0,0.0,-5750.0
